Vendor_Code,Vendor_Name,Vendor_Type,PAN,GSTIN,Resident,LDC_Available,LDC_Rate,LDC_Valid_From,LDC_Valid_To,Blocked,Active,MSME
D0001C,Tata Steel Ltd,Company,TATCD6763J,19TATCD6763J3ZB,Y,N,,,,N,Y,N
D0002G,Larsen & Toubro Ltd,Company,LARCD7595X,32LARCD7595X6ZD,Y,Y,0.0,4/1/2026,3/31/2027,N,Y,N
D0003H,Infosys Ltd,Company,INFCD8748Y,09INFCD8748Y7ZF,Y,N,,,,N,Y,N
D0004H,Siemens Ltd,Company,SIECD8419P,27SIECD8419P1Z2,Y,N,,,,N,Y,N
D0005E,Blue Star Ltd,Company,BLUCD2478R,09BLUCD2478R1ZP,Y,N,,,,N,Y,N
D0006C,Bosch Ltd,Company,BOSCD8085Y,33BOSCD8085Y2ZQ,Y,N,,,,N,Y,N
D0007H,Cummins India Ltd,Company,CUMCD7918O,07CUMCD7918O9ZZ,Y,N,,,,N,Y,N
D0008C,ABB India Ltd,Company,ABBCD8474U,32ABBCD8474U9ZK,Y,N,,,,N,Y,N
D0009F,Thermax Ltd,Company,THECD7429L,32THECD7429L7ZO,Y,N,,,,N,Y,N
D0010E,Kirloskar Brothers Ltd,Company,KIRCD7366R,24KIRCD7366R4ZQ,Y,N,,,,N,Y,N
D0011H,Voltas Ltd,Company,VOLCD7228J,29VOLCD7228J6Z7,Y,N,,,,N,Y,N
D0012E,Godrej & Boyce Mfg Co Ltd,Company,GODCD8938D,27GODCD8938D9ZF,Y,N,,,,N,Y,N
D0013F,Hindustan Unilever Ltd,Company,HINCD6685P,29HINCD6685P8ZM,Y,N,,,,N,Y,N
D0014D,Asian Paints Ltd,Company,ASICD8115B,07ASICD8115B8Z3,Y,N,,,,N,Y,N
D0015E,Bharat Forge Ltd,Company,BHACD3246R,29BHACD3246R1ZF,Y,N,,,,N,Y,N
D0016E,Mahindra Logistics Ltd,Company,MAHCD0933R,23MAHCD0933R1Z4,Y,N,,,,N,Y,N
D0017A,Castrol India Ltd,Company,CASCD8544E,09CASCD8544E8ZV,Y,Y,2.0,4/1/2026,3/31/2027,N,Y,N
D0018C,SKF India Ltd,Company,SKFCD8142T,06SKFCD8142T1ZJ,Y,N,,,,N,Y,N
D0019C,Timken India Ltd,Company,TIMCD4475C,32TIMCD4475C3ZG,Y,N,,,,N,Y,N
D0020F,Schaeffler India Ltd,Company,SCHCD3146B,33SCHCD3146B3Z6,Y,N,,,,N,Y,N
D0021B,Honeywell Automation India Ltd,Company,HONCD0939S,29HONCD0939S8Z8,Y,N,,,,N,Y,N
D0022B,Emerson Process Management India Pvt Ltd,Company,EMECD9051B,23EMECD9051B5ZU,Y,N,,,,N,Y,N
D0023E,Schneider Electric India Pvt Ltd,Company,SCHCD3744S,32SCHCD3744S4Z7,Y,N,,,,N,Y,N
D0024C,Rockwell Automation India Pvt Ltd,Company,ROCCD1209B,19ROCCD1209B6ZB,Y,N,,,,N,Y,N
D0025H,Endress Hauser India Pvt Ltd,Company,ENDCD0217T,23ENDCD0217T3ZZ,Y,N,,,,N,Y,N
