Client,Company_Code,Supplier,Supplier_Name,PAN,Country,WTax_Type,WTx,W_Tax,Recipient_Type,WTxID,Exemption_Number,Exemption_Percentage,Exemption_From,Exemption_To,Exemption_Reason
500,1001,AN023,ANI Technologies Pvt Ltd.,04AAJCA1389G2ZQ,IN,CI,C1,X,CO,1511019,1AE0423ZQR,95,2023-04-25,2024-03-31,
500,1001,AN004,ANI Technologies Pvt Ltd.,10AAJCA1389G1ZY,IN,CI,C1,X,CO,1511019,1AE0423ZQR,95,2023-04-25,2024-03-31,
500,1001,AN011,ANI Technologies Pvt Ltd.,08AAJCA1389G1ZJ,IN,CI,C1,X,CO,1511019,1AE0423ZQR,95,2023-04-25,2024-03-31,
500,1001,AN021,ANI Technologies Pvt Ltd.,32AAJCA1389G1ZS,IN,CI,C1,X,CO,1511019,1AE0423ZQR,95,2023-04-25,2024-03-31,
500,1001,AN017,ANI Technologies Pvt Ltd.,18AAJCA1389G1ZI,IN,CI,C1,X,CO,1511019,1AE0423ZQR,95,2023-04-25,2024-03-31,
500,9029,ALTF01,ALTF SPACES PRIVATE LIMITED,06AAOCA3997M1ZV,IN,II,I1,X,CO,                ,1AD0525XDN,85,2025-05-16,2026-03-31,
500,1001,AI0016,ALTIMETRIK INDIA PVT LTD,29AABCE2733L1ZI,IN,JI,J1,X,CO,CIRCLE 16(1),0416AE675B,99.9,2016-04-29,2017-03-31,
500,1001,AN018,ANI Technologies Pvt Ltd.,29AAJCA1389G1ZF,IN,CI,C1,X,CO,1511019,1AE0423ZQR,95,2023-04-25,2024-03-31,
500,1001,AN019,ANI Technologies Pvt Ltd.,07AAJCA1389G6ZG,IN,CI,C1,X,CO,1511019,1AE0423ZQR,95,2023-04-25,2024-03-31,
500,1001,AIRTELD101,BHARTI AIRTEL LTD,07AAACB2894G1ZP,IN,CI,C1,X,CO,AMT 6223658,1AB0325SBT,90,2025-04-01,2026-03-31,
500,1001,AIL0004,AIR INDIA LTD.,36AACCN6194P2ZP,IN,JI,J1,X,CO,300000,1AD0521VKE,100,2021-05-20,2022-03-31,
500,1001,AIL0004,AIR INDIA LTD.,36AACCN6194P2ZP,IN,JP,J1,X,CO,300000,1AD0521VKE,100,2021-05-20,2022-03-31,
500,1001,S01691,SEWELLS GROUP INDIA PVT.,27AAACI9269G1Z9,IN,JI,J1,X,CO,194J,0214WO566E,50,2014-06-02,2015-03-31,
500,1022,Q1005,QUADRANT TELEVENTURES LIMITED,03AABCT2862R1ZZ,IN,JI,J1,X,CO,                ,1AA0419FAG,100,2019-08-16,2020-03-31,
500,1022,Q1005,QUADRANT TELEVENTURES LIMITED,03AABCT2862R1ZZ,IN,JP,  ,X,CO,                ,1AA0419FAG,100,2019-08-16,2020-03-31,
500,1022,RJA0062001,MEHRAB MOTORS PVT. LTD.,08AAECM2799M1ZR,IN,8I,IA,X,CO,                ,1AB0519WMY,90,2019-05-13,2020-03-31,
500,1022,RJA0062001,MEHRAB MOTORS PVT. LTD.,08AAECM2799M1ZR,IN,CP,  ,X,CO,                ,1AB0519WMP,50,2019-05-13,2020-03-31,
500,1022,RJA0062001,MEHRAB MOTORS PVT. LTD.,08AAECM2799M1ZR,IN,CI,C1,X,CO,                ,1AB0519WMP,50,2019-05-13,2020-03-31,
500,1022,RJA0062001,MEHRAB MOTORS PVT. LTD.,08AAECM2799M1ZR,IN,8P,  ,X,CO,                ,1AB0519WMY,90,2019-05-13,2020-03-31,
500,1006,S081,SUPER HARYANA ROADWAYS,27AAEFS9758F1ZP,IN,CI,C4,X,OT,                ,1,100,2023-05-11,2024-03-31,
500,1005,S081,SUPER HARYANA ROADWAYS,27AAEFS9758F1ZP,IN,CI,C4, ,OT,                ,1,100,2024-04-07,2025-03-31,
500,1001,S01282,PLUXEE INDIA PRIVATE LIMI,27AALCS9822Q1ZC,IN,CI,C1,X,CO,20895111,1AC0426YUV,87.5,2026-04-15,2027-03-31,
500,1001,S01282,PLUXEE INDIA PRIVATE LIMI,27AALCS9822Q1ZC,IN,CP,C1,X,CO,20895111,1AC0426YUV,87.5,2026-04-15,2027-03-31,
500,1001,R00600,Reva Electric Car Co. Pvt. Ltd.,                  ,IN,JI,J1,X,CO,                ,0410AK835F,90,2010-08-19,2011-03-31,
500,1058,QUESS1HYD,Quess Corp Limited,36AABCI7601M1ZG,IN,JI,J1,X,CO,                ,0418AC420E,98,2018-04-19,2019-03-31,
500,1022,RJA0059901,OM LOGISTICS LTD,08AAACO4716C1ZT,IN,CI,C1,X,CO,                ,1AA1219XVM,90,2020-01-01,2020-03-31,
500,1022,RJA0059901,OM LOGISTICS LTD,08AAACO4716C1ZT,IN,CP,  ,X,CO,                ,1AA1219XVM,90,2020-01-01,2020-03-31,
500,1001,QUESS1,QUESS CORP,27AABCI7601M1ZF,IN,CI,C1,X,CO,21259254,1AD0623SXP,95,2023-06-09,2024-03-31,
500,1058,QUESS1,QUESS CORP,27AABCI7601M1ZF,IN,JI,J1,X,CO,                ,0418AC420E,98,2018-04-19,2019-03-31,
500,9017,QUESS1,QUESS CORP,27AABCI7601M1ZF,IN,JI,J1,X,CO,                ,197(1)/AABCI7601M/2021-22,95,2021-04-20,2022-03-31,
500,1022,S1370,SVT LOGISTICS PVT LTD,                  ,IN,CI,C1,X,CO,                ,1AD0519CON,55,2019-05-22,2020-03-31,
500,1022,S1370,SVT LOGISTICS PVT LTD,                  ,IN,CP,  ,X,CO,                ,1AD0519CON,55,2019-05-22,2020-03-31,
500,1006,S3677,Safe Times Logistics,27GFHPS7026Q1ZH,IN,CI,C3,X,OT,                ,1,100,2017-04-01,2018-03-31,
500,1005,S3677,Safe Times Logistics,27GFHPS7026Q1ZH,IN,CI,C3,X,OT,                ,1,100,2018-04-01,2019-03-31,
500,1001,S10153H,SUNDHARAMS PRIVATE LIMITED,27AAACS4949P1ZN,IN,CI,C1,X,CO,16000000,1NB0626BVD,25,2026-06-17,2027-03-31,
500,1037,S02410B,SERVICE MASTER CLEAN LIMITED,29AANCS2248G1Z1,IN,CI,C1,X,CO,                ,1AD0622FSZ,87.5,2022-06-11,2023-03-31,
500,1001,R107,SODEXO INDIA SERVICES PRIVATE LIMIT,27AAACR2547Q1ZW,IN,CI,C1,X,CO,32941320,1AB0525PCU,47.5,2025-05-07,2026-03-31,
500,1007,S6151,BHARATIYA VIDYA BHAVAN'S S.P.JAIN I,27AAATB1693E7ZR,IN,JP,J3,X,OT,                ,1AA0525WVS,100,2025-05-05,2026-03-31,
500,1007,S6151,BHARATIYA VIDYA BHAVAN'S S.P.JAIN I,27AAATB1693E7ZR,IN,JI,J3,X,OT,                ,1AA0525WVS,100,2025-05-05,2026-03-31,
500,1001,R00699,RELIANCE BROADCAST NETWORK LTD.,36AADCR1885L1ZX,IN,CI,C1,X,CO,2286724,1AA0821ZBH,40,2021-08-10,2022-03-31,
500,1001,RGMAPL105C,Gleneagles Healthcare India Private,33AABCR4013N1ZJ,IN,JI,J1,X,CO,2220000,1AC0423KLD,99,2023-04-17,2024-03-31,
500,1001,RGMAPL105C,Gleneagles Healthcare India Private,33AABCR4013N1ZJ,IN,JP,J1, ,CO,2220000,1AC0423KLD,99,2023-04-17,2024-03-31,
500,1001,S000020,SECURITY GUARDS' BOARD FOR,                  ,IN,CI,C4,X,OT,DY COMMISSIIONER,ITBA/EXM/F/EXM44/2025-26/,100,2026-04-06,2027-03-31,
500,1001,S00160,SECURITY AND INTELLIGENCE ES (INDIA,                  ,IN,CI,C1,X,CO,475590,1AA0520WMB,99.33,2020-05-14,2021-03-31,
500,9017,QCLPUN1,QUESS CORP LIMITED,03AABCI7601M1ZP,IN,JI,J1,X,CO,                ,197(1)/AABCI7601M/2021-22,95,2021-04-01,2022-03-31,
500,1001,RTFTPL0917,RETROFIT TECHNOLOGY PVT. LTD,09AAHCR1573K2ZY,IN,CI,C1,X,CO,1100000000,1AC0426LLA,82.5,2026-04-13,2027-03-31,
500,1001,RE29020,RELIANCE BROADCAST NETWORK LIMITED,29AADCR1885L1ZS,IN,CI,C1,X,CO,2286724,1AA0821ZBH,40,2021-08-10,2022-03-31,
500,9025,S01590,SHOBIZ EXPERIENTIAL COMMU,27AABCS4372D1ZI,IN,CP,C1,X,CO,AABCS4372D,4AE0426OPC,2.5,2026-04-22,2027-03-31,
500,9025,S01590,SHOBIZ EXPERIENTIAL COMMU,27AABCS4372D1ZI,IN,CI,C1,X,CO,AABCS4372D,4AE0426OPC,2.5,2026-04-22,2027-03-31,
500,1001,S942,SHUSHRUSHA CITIZEN'S CO-OP,                  ,IN,JI,J3,X,OT,"IRO(TDS)RG3,MUMB",0217ER2801,79.7,2017-11-14,2018-03-31,
500,9033,RAJESHAH01,RAJENDRA SHAH & ASSOCIATES,27AAAFR1055Q1ZX,IN,JI,J3,X,OT,                ,1NA0526CHN,65,2026-05-07,2027-03-31,
500,1001,Q5041A,Q C F I - PUNE CHAPTER,                  ,IN,JP,  ,X,OT,WARD 15(1)HYDER,15(1)/0510AC24,100,2010-05-20,2011-03-31,
500,1001,Q5041A,Q C F I - PUNE CHAPTER,                  ,IN,JI,J3,X,OT,WARD 15(1)HYDER,15(1)/0510AC24,100,2010-05-20,2011-03-31,
500,1001,S9093,SIS Limited.,05AAECS3538A1ZT,IN,CP,C1, ,CO,120068853,4AB0426EVC4C114,99.5,2026-04-06,2027-03-31,
500,1001,S9093,SIS Limited.,05AAECS3538A1ZT,IN,CI,C1,X,CO,120068853,4AB0426EVC4C114,99.5,2026-04-06,2027-03-31,
500,1042,S00224,SERVICE CARE PVT LTD,29AAPCS7846E1ZP,IN,CP,C1, ,CO,                ,0414DR469J,62.5,2014-06-06,2015-03-31,
500,1042,S00224,SERVICE CARE PVT LTD,29AAPCS7846E1ZP,IN,CI,C1,X,CO,                ,0414DR469J,62.5,2014-06-06,2015-03-31,
500,1001,T133H,TQM INTERNATIONAL PVT. LT,                  ,IN,JI,J1,X,CO,51 (5),0110AM234J/246,58,2010-05-18,2011-03-31,
500,1001,STRCH011, P. NATESAN,                  ,IN,II,I4,X,OT,                ,3412AD033E,99.99,2012-05-23,2013-03-31,
500,1001,T402,THE CALCUTTA MEDICAL RESEARCH,19AAATT4227C1ZO,IN,JI,J3,X,OT,                ,0814FR141A,100,2014-05-27,2015-03-31,
500,1022,TS0001,S.D.H.LOGISTICS,                  ,IN,CP,  ,X,OT,                ,1AE0519PPJ,34,2019-05-20,2020-03-31,
500,1022,TS0001,S.D.H.LOGISTICS,                  ,IN,CI,C3,X,OT,                ,1AE0519PPJ,34,2019-05-20,2020-03-31,
500,1037,U00089B,UNIWORLD LOGISTICS PVT LTD,29AAACU5187H1ZY,IN,CP,  ,X,CO,                ,0313DT689A,75,2013-06-03,2014-03-31,
500,1044,U00089B,UNIWORLD LOGISTICS PVT LTD,29AAACU5187H1ZY,IN,CI,C1,X,CO,                ,1AD0621CWK,80,2021-06-14,2022-03-31,
500,1037,U00089B,UNIWORLD LOGISTICS PVT LTD,29AAACU5187H1ZY,IN,CI,C1,X,CO,                ,0313DT689A,75,2013-06-03,2014-03-31,
500,1022,TNA0144101,ESHAAN LOGISTICS,33AADFE3666K1ZD,IN,CP,  ,X,OT,                ,1AE0519ZOF,100,2019-05-23,2020-03-31,
500,1022,TNA0144101,ESHAAN LOGISTICS,33AADFE3666K1ZD,IN,CI,C4,X,OT,                ,1AE0519ZOF,100,2019-05-23,2020-03-31,
500,1022,TNA0066801,BHARTI AIRTEL LIMITED,33AAACB2894G1ZU,IN,CI,C1,X,CO,                ,1AC0419CLJ,55,2019-06-12,2020-03-31,
500,1022,TNA0066801,BHARTI AIRTEL LIMITED,33AAACB2894G1ZU,IN,CP,  ,X,CO,                ,1AC0419CLJ,55,2019-06-12,2020-03-31,
500,1001,TS4686K,TAJ SATS AIR CATERING LTD.,29AABCT4686P1ZF,IN,CI,C1,X,CO,60534,1AG0820IGI,50,2020-11-30,2021-03-31,
500,1037,TUV002,TUV India Private Limited,27AAACT2209D2ZT,IN,JI,J1,X,CO,                ,1AE0521BAB,50,2021-05-21,2022-03-31,
500,1022,TNA0263901,MAHAVEERA TRANSPORT PVT LTD,33AAACM5917F1ZR,IN,CI,C1,X,CO,                ,1AA0519CJG,62.5,2019-05-03,2020-03-31,
500,1022,TNA0263901,MAHAVEERA TRANSPORT PVT LTD,33AAACM5917F1ZR,IN,CP,  ,X,CO,                ,1AA0519CJG,62.5,2019-05-03,2020-03-31,
