Client,Company_Code,Supplier,Supplier_Name,PAN,Country,WTax_Type,WTx,TAN_Exemption,Recipient_Type,Exemption_Number,Exemption_Percentage,Exemption_From,Exemption_To,Exemption_Reason,Exemption_Threshold,Currency
500,1001,09RELBNT01,RELIANCE BROADCAST NETWORK LTD,AADCR1885L,IN,CI,C1,,0001,1AA0821ZBH,40,2021-08-10,2022-03-31,AL,2286724,INR
500,1001,AIRTELD101,BHARTI AIRTEL LTD,AAACB2894G,IN,CI,C1,,0001,1AB0421MRM,45,2021-04-22,2022-03-31,AL,1000000,
500,1001,SEFPL01,SREI EQUIPMENT,AAKCS3431L,IN,HI,H1,,0001,1AA0622BWF,70,2022-06-01,2023-03-31,AL,1450000,INR
500,1001,SITL111013,SONATA INFORMATION,AAECS8734J,IN,JI,J1,,0001,1AA1224JPP,70,2024-12-06,2025-03-31,AL,100000000,INR
500,1001,SDB1072J,SDB SELECT SERVICES PVT L,AAVCS1072J,IN,CI,C1,,0001,1AA0526VLO,70,2026-05-07,2027-03-31,AL,48214019,INR
500,1001,SJLLAM0222,JONES LANG LASALLE PROPERTY CONSULT,AAACL2089B,IN,JI,J1,,0001,1AJ0523FSI,65,2023-05-24,2024-03-31,AL,55882796,INR
500,1001,SJLLBH0322,JONES LANG LASALLE PROPERTY CONSULT,AAACL2089B,IN,JI,J1,,0001,1AJ0523FSI,65,2023-05-24,2024-03-31,AL,55882796,INR
500,1001,SJLLKL0722,JONES LANG LASALLE PROPERTY CONSULT,AAACL2089B,IN,JI,J1,,0001,1AJ0523FSI,65,2023-05-24,2024-03-31,AL,55882796,INR
500,1001,SJLLOD0922,JONES LANG LASALLE PROPERTY CONSULT,AAACL2089B,IN,JI,J1,,0001,1AJ0523FSI,65,2023-05-24,2024-03-31,AL,55882796,INR
500,1001,SJLLPN1022,JONES LANG LASALLE PROPERTY CONSULT,AAACL2089B,IN,JI,J1,,0001,1AJ0523FSI,65,2023-05-24,2024-03-31,AL,55882796,INR
500,1001,SJLLMP0822,JONES LANG LASALLE PROPERTY CONSULT,AAACL2089B,IN,JI,J1,,0001,1AJ0523FSI,65,2023-05-24,2024-03-31,AL,55882796,INR
500,1001,SJLLUP1322,JONES LANG LASALLE PROPERTY CONSULT,AAACL2089B,IN,JI,J1,,0001,1AJ0523FSI,65,2023-05-24,2024-03-31,AL,55882796,INR
500,1001,SL010331,LANDMARK MOBILITY PRIVATE,AAFCL5390N,IN,CI,C1,,0001,4NA0526ALA4A030,90,2026-05-29,2027-03-31,AL,3087329,INR
500,1001,SL010331,LANDMARK MOBILITY PRIVATE,AAFCL5390N,IN,HI,H1,,0001,4NA0526ALC4A003,90,2026-05-29,2027-03-31,AL,539716,INR
500,1001,SL010331,LANDMARK MOBILITY PRIVATE,AAFCL5390N,IN,LI,L1,,0001,4NA0526ALG4A003,90,2026-05-29,2027-03-31,AL,6273324,INR
500,1001,SL010331,LANDMARK MOBILITY PRIVATE,AAFCL5390N,IN,MI,M1,,0001,4NA0526ALH4A001,98,2026-05-29,2027-03-31,AL,6606594,INR
